GRADATION,AGG SOURCE,BINDER,DAG,AV,CT avg
19,17,822,5.58,7.243,47.675
19,17,822,5.58,5.982,50.025
19,17,822,5.58,4.003,41.935
19,17,822,5.58,3.449,34.315
19,17,822,5.58,3.262,37.28
19,17,822,6.16,6.85,56.255
19,17,822,6.16,5.057,49.82
19,17,822,6.16,3.884,51.775
19,17,822,6.16,3.701,44.42
19,17,822,6.16,2.399,33.23
19,17,822,5.05,6.782,37.385
19,17,822,5.05,5.716,32.345
19,17,822,5.05,3.977,21.235
19,17,822,5.05,3.414,28.23
19,17,822,5.05,2.797,16.515
19,17,822,5.11,6.825,44.525
19,17,822,5.11,5.451,38.275
19,17,822,5.11,3.989,34.875
19,17,822,5.11,3.429,28.185
19,17,822,5.11,2.816,18.91
19,17,822,6.23,6.854,72.345
19,17,822,6.23,5.554,62.05
19,17,822,6.23,3.944,57.225
19,17,822,6.23,3.21,48.685
19,17,822,6.23,2.886,41.195
19,17,1415,5.58,6.387,64.78
19,17,1415,5.58,5.493,54.385
19,17,1415,5.58,4.028,51.63
19,17,1415,5.58,3.706,41.58
19,17,1415,5.58,1.929,44.82
19,17,1415,6.16,6.857,82.77
19,17,1415,6.16,6.04,64.695
19,17,1415,6.16,3.911,67.925
19,17,1415,6.16,3.501,51.99
19,17,1415,6.16,2.884,33.645
19,17,1415,5.05,7.189,51.98
19,17,1415,5.05,5.239,41.85
19,17,1415,5.05,4.047,38.36
19,17,1415,5.05,3.861,29.375
19,17,1415,5.05,2.825,21.175
19,17,1415,5.11,6.826,47.985
19,17,1415,5.11,6.009,46.68
19,17,1415,5.11,4.111,42.34
19,17,1415,5.11,3.039,34.33
19,17,1415,5.11,3.648,26.305
19,17,1415,6.23,6.926,73.84
19,17,1415,6.23,5.201,81.74
19,17,1415,6.23,4.224,71.765
19,17,1415,6.23,3.501,56.72
19,17,1415,6.23,2.906,55.57
19,17,3321,5.58,6.3,101.945
19,17,3321,5.58,5.601,88.695
19,17,3321,5.58,3.44,91.085
19,17,3321,5.58,3.301,71.315
19,17,3321,5.58,2.884,68.145
19,17,3321,6.16,6.889,107.63
19,17,3321,6.16,5.6,107.445
19,17,3321,6.16,4.141,96.89
19,17,3321,6.16,3.554,87.53
19,17,3321,6.16,3.463,75.95
19,17,3321,5.05,6.227,84.32
19,17,3321,5.05,5.519,69.98
19,17,3321,5.05,3.976,64.885
19,17,3321,5.05,3.791,59.37
19,17,3321,5.05,2.857,55.08
19,17,3321,5.11,7.347,82.76
19,17,3321,5.11,4.98,78.675
19,17,3321,5.11,4.027,78.155
19,17,3321,5.11,3.148,53.93
19,17,3321,5.11,2.867,58.71
19,17,3321,6.23,6.966,127.53
19,17,3321,6.23,5.688,104.525
19,17,3321,6.23,3.928,111.55
19,17,3321,6.23,3.569,98.155
19,17,3321,6.23,2.38,81.27
19,24,822,5.89,6.476,34.07
19,24,822,5.89,5.638,41.04
19,24,822,5.89,4.135,24.845
19,24,822,5.89,3.565,23.48
19,24,822,5.89,2.854,20.98
19,24,822,6.48,6.86,45.175
19,24,822,6.48,5.66,33.315
19,24,822,6.48,4.169,29.345
19,24,822,6.48,3.56,26.63
19,24,822,6.48,2.898,28.43
19,24,822,5.27,6.803,31.085
19,24,822,5.27,5.406,24.375
19,24,822,5.27,4.011,19.26
19,24,822,5.27,3.477,16.485
19,24,822,5.27,3.117,13.175
19,24,822,5.32,6.913,25.48
19,24,822,5.32,5.573,27.52
19,24,822,5.32,3.313,29.84
19,24,822,5.32,3.535,18.675
19,24,822,5.32,2.414,15.5
19,24,822,6.5,6.986,41.145
19,24,822,6.5,5.629,39.38
19,24,822,6.5,4.016,35.375
19,24,822,6.5,3.626,31.74
19,24,822,6.5,2.924,18.95
19,24,1415,5.89,6.66,43
19,24,1415,5.89,5.664,28.4
19,24,1415,5.89,4.087,36.295
19,24,1415,5.89,3.564,33.6
19,24,1415,5.89,2.635,30.61
19,24,1415,6.48,6.991,51.125
19,24,1415,6.48,5.677,56.24
19,24,1415,6.48,4.112,42.74
19,24,1415,6.48,3.287,39.955
19,24,1415,6.48,3.549,24.86
19,24,1415,5.27,6.874,26.575
19,24,1415,5.27,5.867,33.88
19,24,1415,5.27,4.008,28.14
19,24,1415,5.27,3.476,25.54
19,24,1415,5.27,2.802,23.87
19,24,1415,5.32,7.487,37.575
19,24,1415,5.32,5.233,32.235
19,24,1415,5.32,4.064,19.63
19,24,1415,5.32,3.535,40.93
19,24,1415,5.32,3.579,25.34
19,24,1415,6.5,7.043,62.39
19,24,1415,6.5,5.651,48.19
19,24,1415,6.5,4.045,51.19
19,24,1415,6.5,3.656,41.39
19,24,1415,6.5,2.958,43.54
19,24,3321,5.89,7.127,45.28
19,24,3321,5.89,6.061,60.45
19,24,3321,5.89,4.028,47.89
19,24,3321,5.89,3.594,50.595
19,24,3321,5.89,2.934,29.08
19,24,3321,6.48,6.937,76.525
19,24,3321,6.48,5.461,71.875
19,24,3321,6.48,4.026,64.395
19,24,3321,6.48,3.595,61.275
19,24,3321,6.48,2.942,50.675
19,24,3321,5.27,6.94,55.985
19,24,3321,5.27,4.305,45.03
19,24,3321,5.27,4.218,40.165
19,24,3321,5.27,3.778,32.27
19,24,3321,5.27,2.841,16.565
19,24,3321,5.32,6.977,63.86
19,24,3321,5.32,5.727,54.88
19,24,3321,5.32,4.009,53.89
19,24,3321,5.32,3.303,22.55
19,24,3321,5.32,2.902,42.335
19,24,3321,6.5,7.14,95.265
19,24,3321,6.5,5.632,80.065
19,24,3321,6.5,4.074,72.88
19,24,3321,6.5,3.253,59.97
19,24,3321,6.5,3.384,66.755
26.5,17,822,5.37,7.129,38.79
26.5,17,822,5.37,5.61,37.08
26.5,17,822,5.37,4.089,32.35
26.5,17,822,5.37,3.428,24.26
26.5,17,822,5.37,3.19,20.01
26.5,17,822,5.93,7.189,45.35
26.5,17,822,5.93,5.515,39.79
26.5,17,822,5.93,3.987,37.46
26.5,17,822,5.93,3.323,32.465
26.5,17,822,5.93,2.795,25.685
26.5,17,822,4.84,7.067,28.79
26.5,17,822,4.84,5.794,33.67
26.5,17,822,4.84,3.935,22.625
26.5,17,822,4.84,3.377,15.69
26.5,17,822,4.84,2.427,17.62
26.5,17,822,4.9,7.241,38.14
26.5,17,822,4.9,5.833,27.705
26.5,17,822,4.9,4.105,28.24
26.5,17,822,4.9,3.358,25.455
26.5,17,822,4.9,2.884,13.285
26.5,17,822,5.99,6.953,50.455
26.5,17,822,5.99,6.03,58.42
26.5,17,822,5.99,4.129,44.1
26.5,17,822,5.99,3.571,28.86
26.5,17,822,5.99,2.435,28.115
26.5,17,1415,5.37,7.477,51.585
26.5,17,1415,5.37,5.617,71.87
26.5,17,1415,5.37,4.104,40.84
26.5,17,1415,5.37,3.448,30.88
26.5,17,1415,5.37,2.973,25.965
26.5,17,1415,5.93,7.115,73.345
26.5,17,1415,5.93,5.554,45.62
26.5,17,1415,5.93,4.079,51.93
26.5,17,1415,5.93,3.325,60.13
26.5,17,1415,5.93,2.895,33.655
26.5,17,1415,4.84,7.093,43.01
26.5,17,1415,4.84,5.823,25.33
26.5,17,1415,4.84,3.968,30.29
26.5,17,1415,4.84,3.551,23.085
26.5,17,1415,4.84,2.465,15.26
26.5,17,1415,4.9,7.254,38.755
26.5,17,1415,4.9,5.668,56.855
26.5,17,1415,4.9,4.121,35.28
26.5,17,1415,4.9,3.469,25.21
26.5,17,1415,4.9,2.997,21.195
26.5,17,1415,5.99,6.994,59.56
26.5,17,1415,5.99,5.809,48.12
26.5,17,1415,5.99,4.087,56.33
26.5,17,1415,5.99,3.529,49.81
26.5,17,1415,5.99,2.917,45.2
26.5,17,3321,5.37,7.177,62.53
26.5,17,3321,5.37,5.631,43.015
26.5,17,3321,5.37,4.032,59.98
26.5,17,3321,5.37,3.472,50.275
26.5,17,3321,5.37,3,44.875
26.5,17,3321,5.93,6.954,68.7
26.5,17,3321,5.93,5.577,73.22
26.5,17,3321,5.93,3.944,66
26.5,17,3321,5.93,3.361,52.85
26.5,17,3321,5.93,2.983,52.19
26.5,17,3321,4.84,7.193,56.805
26.5,17,3321,4.84,5.843,41.27
26.5,17,3321,4.84,4.232,49.42
26.5,17,3321,4.84,3.589,41.86
26.5,17,3321,4.84,3.078,38.83
26.5,17,3321,4.9,5.758,64.9
26.5,17,3321,4.9,4.036,35.76
26.5,17,3321,4.9,3.479,51.47
26.5,17,3321,4.9,3.01,35.51
26.5,17,3321,4.9,7.051,42.8
26.5,17,3321,5.99,5.606,72.12
26.5,17,3321,5.99,4.126,73.69
26.5,17,3321,5.99,3.517,89.9
26.5,17,3321,5.99,2.956,64.64
26.5,17,3321,5.99,7.161,56.71
26.5,24,822,5.27,6.846,36.465
26.5,24,822,5.27,5.318,26.21
26.5,24,822,5.27,4.007,27.765
26.5,24,822,5.27,3.383,22.54
26.5,24,822,5.27,2.841,24.13
26.5,24,822,5.79,6.77,45.735
26.5,24,822,5.79,5.234,41.085
26.5,24,822,5.79,4.094,34.05
26.5,24,822,5.79,3.333,28.12
26.5,24,822,5.79,2.834,21.26
26.5,24,822,4.71,6.93,25.13
26.5,24,822,4.71,5.431,21.505
26.5,24,822,4.71,4.014,20.61
26.5,24,822,4.71,3.488,18.95
26.5,24,822,4.71,2.417654873,18.98
26.5,24,822,4.75,6.895,30.325
26.5,24,822,4.75,5.378,25.48
26.5,24,822,4.75,4.032,23.55
26.5,24,822,4.75,3.412,20.34
26.5,24,822,4.75,2.374562622,18.17
26.5,24,822,5.82,6.917,52.025
26.5,24,822,5.82,5.415,34.69
26.5,24,822,5.82,4.039,33.775
26.5,24,822,5.82,3.424,30.795
26.5,24,822,5.82,2.891,26.76
26.5,24,1415,5.27,6.865,44.23
26.5,24,1415,5.27,5.341,31.795
26.5,24,1415,5.27,4.033,33.73
26.5,24,1415,5.27,3.455,27.325
26.5,24,1415,5.27,2.87,22.97
26.5,24,1415,5.79,6.787,51.13
26.5,24,1415,5.79,5.254,45.62
26.5,24,1415,5.79,4.027,37.855
26.5,24,1415,5.79,3.402,33.18
26.5,24,1415,5.79,2.859,24.86
26.5,24,1415,4.71,6.913,29.31
26.5,24,1415,4.71,5.42,25.335
26.5,24,1415,4.71,4.052,22.085
26.5,24,1415,4.71,3.528,20.455
26.5,24,1415,4.71,2.285,20.315
26.5,24,1415,4.75,6.887,33.23
26.5,24,1415,4.75,5.377,27.22
26.5,24,1415,4.75,4.037,27.47
26.5,24,1415,4.75,3.464,23.73
26.5,24,1415,4.75,2.386,21.195
26.5,24,1415,5.82,6.889,55.2
26.5,24,1415,5.82,5.389,38.705
26.5,24,1415,5.82,4.014,37.335
26.5,24,1415,5.82,3.488,33.945
26.5,24,1415,5.82,2.911,29.67
26.5,24,3321,5.27,6.939,57.805
26.5,24,3321,5.27,5.382,42.655
26.5,24,3321,5.27,4.037,50.18
26.5,24,3321,5.27,3.505,40.7
26.5,24,3321,5.27,2.878,57.355
26.5,24,3321,5.79,6.829,72.54
26.5,24,3321,5.79,5.302,63.32
26.5,24,3321,5.79,4.079,51.56
26.5,24,3321,5.79,3.411,44.905
26.5,24,3321,5.79,2.869,33.95
26.5,24,3321,4.71,7.056,51.835
26.5,24,3321,4.71,5.474,41.445
26.5,24,3321,4.71,4.012,32.885
26.5,24,3321,4.71,3.573,31.06
26.5,24,3321,4.71,2.233,28.955
26.5,24,3321,4.75,6.965,52.255
26.5,24,3321,4.75,5.422,45.145
26.5,24,3321,4.75,4.047,36.57
26.5,24,3321,4.75,3.52,30.48
26.5,24,3321,4.75,2.899,24.54
26.5,24,3321,5.82,7.038,84.485
26.5,24,3321,5.82,5.464,61.015
26.5,24,3321,5.82,4.009,59.19
26.5,24,3321,5.82,3.529,50.84
26.5,24,3321,5.82,2.911,49.97
