Aggregate,source,DAG,Binder,AV,PS
19,15,5.58,822,7.243,2.362
19,15,5.58,822,5.982,2.311
19,15,5.58,822,4.003,1.644
19,15,5.58,822,3.449,1.161
19,15,5.58,822,3.262,0.958
19,15,6.16,822,6.85,2.867
19,15,6.16,822,5.057,1.941
19,15,6.16,822,3.884,1.88
19,15,6.16,822,3.701,1.67
19,15,6.16,822,2.399,1.213
19,15,5.05,822,6.782,2.147
19,15,5.05,822,5.716,1.382
19,15,5.05,822,3.977,1.291
19,15,5.05,822,3.414,1.123
19,15,5.05,822,2.797,1.018
19,15,5.11,822,6.825,2.155
19,15,5.11,822,5.451,1.191
19,15,5.11,822,3.989,1.325
19,15,5.11,822,3.429,1.1
19,15,5.11,822,2.816,0.996
19,15,6.23,822,6.854,3.344
19,15,6.23,822,5.554,2.526
19,15,6.23,822,3.944,1.837
19,15,6.23,822,3.21,1.782
19,15,6.23,822,2.886,1.71
19,15,5.58,1415,6.387,2.194
19,15,5.58,1415,5.493,1.81
19,15,5.58,1415,4.028,1.619
19,15,5.58,1415,3.706,0.819
19,15,5.58,1415,1.929,0.719
19,15,6.16,1415,6.857,2.777
19,15,6.16,1415,6.04,2.21
19,15,6.16,1415,3.911,1.73
19,15,6.16,1415,3.501,1.433
19,15,6.16,1415,2.884,1.173
19,15,5.05,1415,7.189,1.559
19,15,5.05,1415,5.239,1.077
19,15,5.05,1415,4.047,0.78
19,15,5.05,1415,3.861,0.739
19,15,5.05,1415,2.825,0.677
19,15,5.11,1415,6.826,2.069
19,15,5.11,1415,6.009,1.121
19,15,5.11,1415,4.111,0.989
19,15,5.11,1415,3.039,0.88
19,15,5.11,1415,3.648,0.754
19,15,6.23,1415,6.926,3.172
19,15,6.23,1415,5.201,2.08
19,15,6.23,1415,4.224,1.831
19,15,6.23,1415,3.501,1.807
19,15,6.23,1415,2.906,1.495
19,15,5.58,3321,6.3,1.994
19,15,5.58,3321,5.601,1.577
19,15,5.58,3321,3.44,1.605
19,15,5.58,3321,3.301,0.932
19,15,5.58,3321,2.884,0.738
19,15,6.16,3321,6.889,2.266
19,15,6.16,3321,5.6,1.889
19,15,6.16,3321,4.141,1.368
19,15,6.16,3321,3.554,1.417
19,15,6.16,3321,3.463,0.942
19,15,5.05,3321,6.227,1.608
19,15,5.05,3321,5.519,1.189
19,15,5.05,3321,3.976,0.831
19,15,5.05,3321,3.791,0.75
19,15,5.05,3321,2.857,0.666
19,15,5.11,3321,7.347,1.853
19,15,5.11,3321,4.98,0.933
19,15,5.11,3321,4.027,1.115
19,15,5.11,3321,3.148,0.742
19,15,5.11,3321,2.867,0.71
19,15,6.23,3321,6.966,2.523
19,15,6.23,3321,5.688,2.08
19,15,6.23,3321,3.928,1.706
19,15,6.23,3321,3.569,1.199
19,15,6.23,3321,2.38,1.01
19,25,5.89,822,6.476,2.477
19,25,5.89,822,5.638,2.193
19,25,5.89,822,4.135,1.853
19,25,5.89,822,3.565,1.796
19,25,5.89,822,2.854,1.077
19,25,6.48,822,6.86,3.372
19,25,6.48,822,5.66,2.529
19,25,6.48,822,4.169,2.266
19,25,6.48,822,3.56,1.335
19,25,6.48,822,2.898,1.773
19,25,5.27,822,6.803,2.147
19,25,5.27,822,5.406,1.382
19,25,5.27,822,4.011,1.291
19,25,5.27,822,3.477,1.123
19,25,5.27,822,3.117,1.018
19,25,5.32,822,6.913,2.514
19,25,5.32,822,5.573,1.456
19,25,5.32,822,3.313,1.16
19,25,5.32,822,3.535,1.252
19,25,5.32,822,2.414,1.2
19,25,6.5,822,6.986,3.778
19,25,6.5,822,5.629,2.907
19,25,6.5,822,4.016,2.375
19,25,6.5,822,3.626,2.084
19,25,6.5,822,2.924,1.957
19,25,5.89,1415,6.66,2.336
19,25,5.89,1415,5.664,2.099
19,25,5.89,1415,4.087,1.66
19,25,5.89,1415,3.564,1.707
19,25,5.89,1415,2.635,0.923
19,25,6.48,1415,6.991,3.173
19,25,6.48,1415,5.677,2.331
19,25,6.48,1415,4.112,1.124
19,25,6.48,1415,3.287,1.567
19,25,6.48,1415,3.549,1.243
19,25,5.27,1415,6.874,2.025
19,25,5.27,1415,5.867,1.397
19,25,5.27,1415,4.008,2.117
19,25,5.27,1415,3.476,1.025
19,25,5.27,1415,2.802,0.892
19,25,5.32,1415,7.487,2.419
19,25,5.32,1415,5.233,1.224
19,25,5.32,1415,4.064,1.281
19,25,5.32,1415,3.535,1.063
19,25,5.32,1415,3.579,0.939
19,25,6.5,1415,7.043,3.573
19,25,6.5,1415,5.651,2.727
19,25,6.5,1415,4.045,2.219
19,25,6.5,1415,3.656,1.932
19,25,6.5,1415,2.958,1.81
19,25,5.89,3321,7.127,2.233
19,25,5.89,3321,6.061,1.92
19,25,5.89,3321,4.028,1.497
19,25,5.89,3321,3.594,1.079
19,25,5.89,3321,2.934,0.83
19,25,6.48,3321,6.937,2.631
19,25,6.48,3321,5.461,1.886
19,25,6.48,3321,4.026,1.749
19,25,6.48,3321,3.595,1.372
19,25,6.48,3321,2.942,1.288
19,25,5.27,3321,6.94,2.631
19,25,5.27,3321,4.305,1.886
19,25,5.27,3321,4.218,1.749
19,25,5.27,3321,3.778,1.372
19,25,5.27,3321,2.841,1.288
19,25,5.32,3321,6.977,2.016
19,25,5.32,3321,5.727,1.164
19,25,5.32,3321,4.009,1.831
19,25,5.32,3321,3.303,0.805
19,25,5.32,3321,2.902,0.783
19,25,6.5,3321,7.14,2.868
19,25,6.5,3321,5.632,2.253
19,25,6.5,3321,4.074,1.02
19,25,6.5,3321,3.253,1.496
19,25,6.5,3321,3.384,1.345
26.5,15,5.37,822,7.129,1.696
26.5,15,5.37,822,5.61,1.315
26.5,15,5.37,822,4.089,1.393
26.5,15,5.37,822,3.428,0.881
26.5,15,5.37,822,3.19,0.712
26.5,15,5.93,822,7.189,1.881
26.5,15,5.93,822,5.515,1.213
26.5,15,5.93,822,3.987,1.001
26.5,15,5.93,822,3.323,0.842
26.5,15,5.93,822,2.795,0.823
26.5,15,4.84,822,7.067,2.723
26.5,15,4.84,822,5.794,2.331
26.5,15,4.84,822,3.935,1.616
26.5,15,4.84,822,3.377,1.315
26.5,15,4.84,822,2.427,0.978
26.5,15,4.9,822,7.241,2.079
26.5,15,4.9,822,5.833,1.935
26.5,15,4.9,822,4.105,1.362
26.5,15,4.9,822,3.358,1.097
26.5,15,4.9,822,2.884,1.022
26.5,15,5.99,822,6.953,2.934
26.5,15,5.99,822,6.03,1.813
26.5,15,5.99,822,4.129,1.383
26.5,15,5.99,822,3.571,1.198
26.5,15,5.99,822,2.435,1.223
26.5,15,5.37,1415,7.477,1.502
26.5,15,5.37,1415,5.617,1.389
26.5,15,5.37,1415,4.104,1.283
26.5,15,5.37,1415,3.448,0.875
26.5,15,5.37,1415,2.973,0.662
26.5,15,5.93,1415,7.115,1.366
26.5,15,5.93,1415,5.554,1.219
26.5,15,5.93,1415,4.079,1.049
26.5,15,5.93,1415,3.325,1.08
26.5,15,5.93,1415,2.895,0.613
26.5,15,4.84,1415,7.093,2.817
26.5,15,4.84,1415,5.823,2.254
26.5,15,4.84,1415,3.968,1.545
26.5,15,4.84,1415,3.551,1.354
26.5,15,4.84,1415,2.465,1.213
26.5,15,4.9,1415,7.254,1.797
26.5,15,4.9,1415,5.668,1.591
26.5,15,4.9,1415,4.121,0.935
26.5,15,4.9,1415,3.469,1.066
26.5,15,4.9,1415,2.997,0.779
26.5,15,5.99,1415,6.994,2.529
26.5,15,5.99,1415,5.809,1.768
26.5,15,5.99,1415,4.087,1.404
26.5,15,5.99,1415,3.529,1.168
26.5,15,5.99,1415,2.917,1.258
26.5,15,5.37,3321,7.177,1.3
26.5,15,5.37,3321,5.631,1.23
26.5,15,5.37,3321,4.032,1.117
26.5,15,5.37,3321,3.472,0.687
26.5,15,5.37,3321,3,0.575
26.5,15,5.93,3321,6.954,1.17
26.5,15,5.93,3321,5.577,0.85
26.5,15,5.93,3321,3.944,0.875
26.5,15,5.93,3321,3.361,0.986
26.5,15,5.93,3321,2.983,0.593
26.5,15,4.84,3321,7.193,2.297
26.5,15,4.84,3321,5.843,2.679
26.5,15,4.84,3321,4.232,1.303
26.5,15,4.84,3321,3.589,1.111
26.5,15,4.84,3321,3.078,1.003
26.5,15,4.9,3321,5.758,1.703
26.5,15,4.9,3321,4.036,1.405
26.5,15,4.9,3321,3.479,1.149
26.5,15,4.9,3321,3.01,0.904
26.5,15,4.9,3321,7.051,0.724
26.5,15,5.99,3321,5.606,2.152
26.5,15,5.99,3321,4.126,1.846
26.5,15,5.99,3321,3.517,1.385
26.5,15,5.99,3321,2.956,1.179
26.5,15,5.99,3321,7.161,0.892
26.5,25,5.27,822,6.846,1.861
26.5,25,5.27,822,5.318,1.43
26.5,25,5.27,822,4.007,1.116
26.5,25,5.27,822,3.383,0.865
26.5,25,5.27,822,2.841,0.978
26.5,25,5.79,822,6.77,2.204
26.5,25,5.79,822,5.234,1.29
26.5,25,5.79,822,4.094,1.131
26.5,25,5.79,822,3.333,0.954
26.5,25,5.79,822,2.834,0.874
26.5,25,4.71,822,6.93,3.509
26.5,25,4.71,822,5.431,2.418
26.5,25,4.71,822,4.014,2.116
26.5,25,4.71,822,3.488,2.241
26.5,25,4.71,822,2.417654873,2.213
26.5,25,4.75,822,6.895,2.39
26.5,25,4.75,822,5.378,2.124
26.5,25,4.75,822,4.032,1.642
26.5,25,4.75,822,3.412,1.731
26.5,25,4.75,822,2.374562622,1.912
26.5,25,5.82,822,6.917,3.298
26.5,25,5.82,822,5.415,2.54
26.5,25,5.82,822,4.039,1.869
26.5,25,5.82,822,3.424,1.265
26.5,25,5.82,822,2.891,1.331
26.5,25,5.27,1415,6.865,2.018
26.5,25,5.27,1415,5.341,1.317
26.5,25,5.27,1415,4.033,0.851
26.5,25,5.27,1415,3.455,1.299
26.5,25,5.27,1415,2.87,0.792
26.5,25,5.79,1415,6.787,2.171
26.5,25,5.79,1415,5.254,1.296
26.5,25,5.79,1415,4.027,1.03
26.5,25,5.79,1415,3.402,0.889
26.5,25,5.79,1415,2.859,0.765
26.5,25,4.71,1415,6.913,3.275
26.5,25,4.71,1415,5.42,2.401
26.5,25,4.71,1415,4.052,1.91
26.5,25,4.71,1415,3.528,1.733
26.5,25,4.71,1415,2.285,1.912
26.5,25,4.75,1415,6.887,1.719
26.5,25,4.75,1415,5.377,1.907
26.5,25,4.75,1415,4.037,1.438
26.5,25,4.75,1415,3.464,1.132
26.5,25,4.75,1415,2.386,1.897
26.5,25,5.82,1415,6.889,3.221
26.5,25,5.82,1415,5.389,2.156
26.5,25,5.82,1415,4.014,1.947
26.5,25,5.82,1415,3.488,1.264
26.5,25,5.82,1415,2.911,1.397
26.5,25,5.27,3321,6.939,1.395
26.5,25,5.27,3321,5.382,1.725
26.5,25,5.27,3321,4.037,0.885
26.5,25,5.27,3321,3.505,0.757
26.5,25,5.27,3321,2.878,0.678
26.5,25,5.79,3321,6.829,1.551
26.5,25,5.79,3321,5.302,1.362
26.5,25,5.79,3321,4.079,0.888
26.5,25,5.79,3321,3.411,0.774
26.5,25,5.79,3321,2.869,0.695
26.5,25,4.71,3321,7.056,2.548
26.5,25,4.71,3321,5.474,2.797
26.5,25,4.71,3321,4.012,1.359
26.5,25,4.71,3321,3.573,1.68
26.5,25,4.71,3321,2.233,1.213
26.5,25,4.75,3321,6.965,2.418
26.5,25,4.75,3321,5.422,1.746
26.5,25,4.75,3321,4.047,1.39
26.5,25,4.75,3321,3.52,1.02
26.5,25,4.75,3321,2.899,0.799
26.5,25,5.82,3321,7.038,1.889
26.5,25,5.82,3321,5.464,1.81
26.5,25,5.82,3321,4.009,1.378
26.5,25,5.82,3321,3.529,1.235
26.5,25,5.82,3321,2.911,1.131
13,15,5.58,822,7.243,2.7163
13,15,5.58,822,5.982,2.65765
13,15,5.58,822,4.003,1.8906
13,15,5.58,822,3.449,1.33515
13,15,5.58,822,3.262,1.1017
13,15,6.16,822,6.85,3.29705
13,15,6.16,822,5.057,2.23215
13,15,6.16,822,3.884,2.162
13,15,6.16,822,3.701,1.9205
13,15,6.16,822,2.399,1.39495
13,15,5.05,822,6.782,2.46905
13,15,5.05,822,5.716,1.5893
13,15,5.05,822,3.977,1.48465
13,15,5.05,822,3.414,1.29145
13,15,5.05,822,2.797,1.1707
13,15,5.11,822,6.825,2.47825
13,15,5.11,822,5.451,1.36965
13,15,5.11,822,3.989,1.52375
13,15,5.11,822,3.429,1.265
13,15,5.11,822,2.816,1.1454
13,15,6.23,822,6.854,3.8456
13,15,6.23,822,5.554,2.9049
13,15,6.23,822,3.944,2.11255
13,15,6.23,822,3.21,2.0493
13,15,6.23,822,2.886,1.9665
13,15,5.58,1415,6.387,2.5231
13,15,5.58,1415,5.493,2.0815
13,15,5.58,1415,4.028,1.86185
13,15,5.58,1415,3.706,0.94185
13,15,5.58,1415,1.929,0.82685
13,15,6.16,1415,6.857,3.19355
13,15,6.16,1415,6.04,2.5415
13,15,6.16,1415,3.911,1.9895
13,15,6.16,1415,3.501,1.64795
13,15,6.16,1415,2.884,1.34895
13,15,5.05,1415,7.189,1.79285
13,15,5.05,1415,5.239,1.23855
13,15,5.05,1415,4.047,0.897
13,15,5.05,1415,3.861,0.84985
13,15,5.05,1415,2.825,0.77855
13,15,5.11,1415,6.826,2.37935
13,15,5.11,1415,6.009,1.28915
13,15,5.11,1415,4.111,1.13735
13,15,5.11,1415,3.039,1.012
13,15,5.11,1415,3.648,0.8671
13,15,6.23,1415,6.926,3.6478
13,15,6.23,1415,5.201,2.392
13,15,6.23,1415,4.224,2.10565
13,15,6.23,1415,3.501,2.07805
13,15,6.23,1415,2.906,1.71925
13,15,5.58,3321,6.3,2.2931
13,15,5.58,3321,5.601,1.81355
13,15,5.58,3321,3.44,1.84575
13,15,5.58,3321,3.301,1.0718
13,15,5.58,3321,2.884,0.8487
13,15,6.16,3321,6.889,2.6059
13,15,6.16,3321,5.6,2.17235
13,15,6.16,3321,4.141,1.5732
13,15,6.16,3321,3.554,1.62955
13,15,6.16,3321,3.463,1.0833
13,15,5.05,3321,6.227,1.8492
13,15,5.05,3321,5.519,1.36735
13,15,5.05,3321,3.976,0.95565
13,15,5.05,3321,3.791,0.8625
13,15,5.05,3321,2.857,0.7659
13,15,5.11,3321,7.347,2.13095
13,15,5.11,3321,4.98,1.07295
13,15,5.11,3321,4.027,1.28225
13,15,5.11,3321,3.148,0.8533
13,15,5.11,3321,2.867,0.8165
13,15,6.23,3321,6.966,2.90145
13,15,6.23,3321,5.688,2.392
13,15,6.23,3321,3.928,1.9619
13,15,6.23,3321,3.569,1.37885
13,15,6.23,3321,2.38,1.1615
13,25,5.89,822,6.476,2.84855
13,25,5.89,822,5.638,2.52195
13,25,5.89,822,4.135,2.13095
13,25,5.89,822,3.565,2.0654
13,25,5.89,822,2.854,1.23855
13,25,6.48,822,6.86,3.8778
13,25,6.48,822,5.66,2.90835
13,25,6.48,822,4.169,2.6059
13,25,6.48,822,3.56,1.53525
13,25,6.48,822,2.898,2.03895
13,25,5.27,822,6.803,2.46905
13,25,5.27,822,5.406,1.5893
13,25,5.27,822,4.011,1.48465
13,25,5.27,822,3.477,1.29145
13,25,5.27,822,3.117,1.1707
13,25,5.32,822,6.913,2.8911
13,25,5.32,822,5.573,1.6744
13,25,5.32,822,3.313,1.334
13,25,5.32,822,3.535,1.4398
13,25,5.32,822,2.414,1.38
13,25,6.5,822,6.986,4.3447
13,25,6.5,822,5.629,3.34305
13,25,6.5,822,4.016,2.73125
13,25,6.5,822,3.626,2.3966
13,25,6.5,822,2.924,2.25055
13,25,5.89,1415,6.66,2.6864
13,25,5.89,1415,5.664,2.41385
13,25,5.89,1415,4.087,1.909
13,25,5.89,1415,3.564,1.96305
13,25,5.89,1415,2.635,1.06145
13,25,6.48,1415,6.991,3.64895
13,25,6.48,1415,5.677,2.68065
13,25,6.48,1415,4.112,1.2926
13,25,6.48,1415,3.287,1.80205
13,25,6.48,1415,3.549,1.42945
13,25,5.27,1415,6.874,2.32875
13,25,5.27,1415,5.867,1.60655
13,25,5.27,1415,4.008,2.43455
13,25,5.27,1415,3.476,1.17875
13,25,5.27,1415,2.802,1.0258
13,25,5.32,1415,7.487,2.78185
13,25,5.32,1415,5.233,1.4076
13,25,5.32,1415,4.064,1.47315
13,25,5.32,1415,3.535,1.22245
13,25,5.32,1415,3.579,1.07985
13,25,6.5,1415,7.043,4.10895
13,25,6.5,1415,5.651,3.13605
13,25,6.5,1415,4.045,2.55185
13,25,6.5,1415,3.656,2.2218
13,25,6.5,1415,2.958,2.0815
13,25,5.89,3321,7.127,2.56795
13,25,5.89,3321,6.061,2.208
13,25,5.89,3321,4.028,1.72155
13,25,5.89,3321,3.594,1.24085
13,25,5.89,3321,2.934,0.9545
13,25,6.48,3321,6.937,3.02565
13,25,6.48,3321,5.461,2.1689
13,25,6.48,3321,4.026,2.01135
13,25,6.48,3321,3.595,1.5778
13,25,6.48,3321,2.942,1.4812
13,25,5.27,3321,6.94,3.02565
13,25,5.27,3321,4.305,2.1689
13,25,5.27,3321,4.218,2.01135
13,25,5.27,3321,3.778,1.5778
13,25,5.27,3321,2.841,1.4812
13,25,5.32,3321,6.977,2.3184
13,25,5.32,3321,5.727,1.3386
13,25,5.32,3321,4.009,2.10565
13,25,5.32,3321,3.303,0.92575
13,25,5.32,3321,2.902,0.90045
13,25,6.5,3321,7.14,3.2982
13,25,6.5,3321,5.632,2.59095
13,25,6.5,3321,4.074,1.173
13,25,6.5,3321,3.253,1.7204
13,25,6.5,3321,3.384,1.54675
37.5,15,5.37,822,7.129,1.4416
37.5,15,5.37,822,5.61,1.11775
37.5,15,5.37,822,4.089,1.18405
37.5,15,5.37,822,3.428,0.74885
37.5,15,5.37,822,3.19,0.6052
37.5,15,5.93,822,7.189,1.59885
37.5,15,5.93,822,5.515,1.03105
37.5,15,5.93,822,3.987,0.85085
37.5,15,5.93,822,3.323,0.7157
37.5,15,5.93,822,2.795,0.69955
37.5,15,4.84,822,7.067,2.31455
37.5,15,4.84,822,5.794,1.98135
37.5,15,4.84,822,3.935,1.3736
37.5,15,4.84,822,3.377,1.11775
37.5,15,4.84,822,2.427,0.8313
37.5,15,4.9,822,7.241,1.76715
37.5,15,4.9,822,5.833,1.64475
37.5,15,4.9,822,4.105,1.1577
37.5,15,4.9,822,3.358,0.93245
37.5,15,4.9,822,2.884,0.8687
37.5,15,5.99,822,6.953,2.4939
37.5,15,5.99,822,6.03,1.54105
37.5,15,5.99,822,4.129,1.17555
37.5,15,5.99,822,3.571,1.0183
37.5,15,5.99,822,2.435,1.03955
37.5,15,5.37,1415,7.477,1.2767
37.5,15,5.37,1415,5.617,1.18065
37.5,15,5.37,1415,4.104,1.09055
37.5,15,5.37,1415,3.448,0.74375
37.5,15,5.37,1415,2.973,0.5627
37.5,15,5.93,1415,7.115,1.1611
37.5,15,5.93,1415,5.554,1.03615
37.5,15,5.93,1415,4.079,0.89165
37.5,15,5.93,1415,3.325,0.918
37.5,15,5.93,1415,2.895,0.52105
37.5,15,4.84,1415,7.093,2.39445
37.5,15,4.84,1415,5.823,1.9159
37.5,15,4.84,1415,3.968,1.31325
37.5,15,4.84,1415,3.551,1.1509
37.5,15,4.84,1415,2.465,1.03105
37.5,15,4.9,1415,7.254,1.52745
37.5,15,4.9,1415,5.668,1.35235
37.5,15,4.9,1415,4.121,0.79475
37.5,15,4.9,1415,3.469,0.9061
37.5,15,4.9,1415,2.997,0.66215
37.5,15,5.99,1415,6.994,2.14965
37.5,15,5.99,1415,5.809,1.5028
37.5,15,5.99,1415,4.087,1.1934
37.5,15,5.99,1415,3.529,0.9928
37.5,15,5.99,1415,2.917,1.0693
37.5,15,5.37,3321,7.177,1.105
37.5,15,5.37,3321,5.631,1.0455
37.5,15,5.37,3321,4.032,0.94945
37.5,15,5.37,3321,3.472,0.58395
37.5,15,5.37,3321,3,0.48875
37.5,15,5.93,3321,6.954,0.9945
37.5,15,5.93,3321,5.577,0.7225
37.5,15,5.93,3321,3.944,0.74375
37.5,15,5.93,3321,3.361,0.8381
37.5,15,5.93,3321,2.983,0.50405
37.5,15,4.84,3321,7.193,1.95245
37.5,15,4.84,3321,5.843,2.27715
37.5,15,4.84,3321,4.232,1.10755
37.5,15,4.84,3321,3.589,0.94435
37.5,15,4.84,3321,3.078,0.85255
37.5,15,4.9,3321,5.758,1.44755
37.5,15,4.9,3321,4.036,1.19425
37.5,15,4.9,3321,3.479,0.97665
37.5,15,4.9,3321,3.01,0.7684
37.5,15,4.9,3321,7.051,0.6154
37.5,15,5.99,3321,5.606,1.8292
37.5,15,5.99,3321,4.126,1.5691
37.5,15,5.99,3321,3.517,1.17725
37.5,15,5.99,3321,2.956,1.00215
37.5,15,5.99,3321,7.161,0.7582
37.5,25,5.27,822,6.846,1.58185
37.5,25,5.27,822,5.318,1.2155
37.5,25,5.27,822,4.007,0.9486
37.5,25,5.27,822,3.383,0.73525
37.5,25,5.27,822,2.841,0.8313
37.5,25,5.79,822,6.77,1.8734
37.5,25,5.79,822,5.234,1.0965
37.5,25,5.79,822,4.094,0.96135
37.5,25,5.79,822,3.333,0.8109
37.5,25,5.79,822,2.834,0.7429
37.5,25,4.71,822,6.93,2.98265
37.5,25,4.71,822,5.431,2.0553
37.5,25,4.71,822,4.014,1.7986
37.5,25,4.71,822,3.488,1.90485
37.5,25,4.71,822,2.417654873,1.88105
37.5,25,4.75,822,6.895,2.0315
37.5,25,4.75,822,5.378,1.8054
37.5,25,4.75,822,4.032,1.3957
37.5,25,4.75,822,3.412,1.47135
37.5,25,4.75,822,2.374562622,1.6252
37.5,25,5.82,822,6.917,2.8033
37.5,25,5.82,822,5.415,2.159
37.5,25,5.82,822,4.039,1.58865
37.5,25,5.82,822,3.424,1.07525
37.5,25,5.82,822,2.891,1.13135
37.5,25,5.27,1415,6.865,1.7153
37.5,25,5.27,1415,5.341,1.11945
37.5,25,5.27,1415,4.033,0.72335
37.5,25,5.27,1415,3.455,1.10415
37.5,25,5.27,1415,2.87,0.6732
37.5,25,5.79,1415,6.787,1.84535
37.5,25,5.79,1415,5.254,1.1016
37.5,25,5.79,1415,4.027,0.8755
37.5,25,5.79,1415,3.402,0.75565
37.5,25,5.79,1415,2.859,0.65025
37.5,25,4.71,1415,6.913,2.78375
37.5,25,4.71,1415,5.42,2.04085
37.5,25,4.71,1415,4.052,1.6235
37.5,25,4.71,1415,3.528,1.47305
37.5,25,4.71,1415,2.285,1.6252
37.5,25,4.75,1415,6.887,1.46115
37.5,25,4.75,1415,5.377,1.62095
37.5,25,4.75,1415,4.037,1.2223
37.5,25,4.75,1415,3.464,0.9622
37.5,25,4.75,1415,2.386,1.61245
37.5,25,5.82,1415,6.889,2.73785
37.5,25,5.82,1415,5.389,1.8326
37.5,25,5.82,1415,4.014,1.65495
37.5,25,5.82,1415,3.488,1.0744
37.5,25,5.82,1415,2.911,1.18745
37.5,25,5.27,3321,6.939,1.18575
37.5,25,5.27,3321,5.382,1.46625
37.5,25,5.27,3321,4.037,0.75225
37.5,25,5.27,3321,3.505,0.64345
37.5,25,5.27,3321,2.878,0.5763
37.5,25,5.79,3321,6.829,1.31835
37.5,25,5.79,3321,5.302,1.1577
37.5,25,5.79,3321,4.079,0.7548
37.5,25,5.79,3321,3.411,0.6579
37.5,25,5.79,3321,2.869,0.59075
37.5,25,4.71,3321,7.056,2.1658
37.5,25,4.71,3321,5.474,2.37745
37.5,25,4.71,3321,4.012,1.15515
37.5,25,4.71,3321,3.573,1.428
37.5,25,4.71,3321,2.233,1.03105
37.5,25,4.75,3321,6.965,2.0553
37.5,25,4.75,3321,5.422,1.4841
37.5,25,4.75,3321,4.047,1.1815
37.5,25,4.75,3321,3.52,0.867
37.5,25,4.75,3321,2.899,0.67915
37.5,25,5.82,3321,7.038,1.60565
37.5,25,5.82,3321,5.464,1.5385
37.5,25,5.82,3321,4.009,1.1713
37.5,25,5.82,3321,3.529,1.04975
37.5,25,5.82,3321,2.911,0.96135
